case_number,case_name,job_number,project_manager
064-Y3,OMES Fleet Management,0032.00,Bud
064-1114,Fastway,0756.00,Hayley
064-1943,Mac's Mart,0107.00,Erica
064-1962,Sooner Coop,0111.00,Erica
064-2137,Dacoma Coop (Gas),0045.00,Hayley
064-2138,Dacoma Coop (Diesel),0045.00,Hayley
064-2221,Harrelson's 66/John's 66,0474.00,Hayley
064-2298,Hardesty Oil Co,0063.00,Erica
064-2465,C & B Sav-A-Trip,0627.00,TBD
064-2724,Kelle Oil Co,0052.00,Hayley
064-2900,Hardesty Oil Co,0063.00,Erica
064-2959,Taylor #217,0601.00,Hayley
064-2975,Nelco Gulf,0055.00,Erica
064-3431,Mid-West Easy Stop #14,0587.00,Austin
064-3554,Kwick Stop #3,0054.00,Erica
064-3882,Healdton Card Lock,0128.00,Erica
064-3908,Grand Central Station,0091.00,Hayley
064-3925,Randy's M & M,0604.00,Erica
064-3933,West Maine Conoco,0093.00,Hayley
064-3979,Healdton Card Lock,0128.00,Erica
064-4020,Prue's Market (100196),0096.00,Erica
064-4111,Hardberger & Smylie,0116.00,Hayley
064-4236,Dill City Quick Stop,0121.00,Hayley
064-4259,23rd Street Food Mart,0468.00,Gage
064-4279,Bill APCO,0042.00,Hayley
064-4294,Stateline Grocery,0035.00,Hayley
064-4295,Fast Tracks Shop,0117.00,Hayley
064-4296,J & S Country Store,0015.00,Hayley
064-4302,General Store,0025.00,Mike
064-4387,Valero Short Stop 3,0138.00,Erica
064-4401,Keathley Korner,0051.00,Hayley
064-4440,Y-Me,0015.00,Hayley
064-4526,Leonard Country Store,0224.00,Hayley
064-4530,BJ's Convenience,0300.00,Gage
064-4534,Hobby Lobby,0284.00,Hayley
064-4542,Leonard Country Store,0224.00,Hayley
064-4609,Blaine County Storage Barn,0402.00,Austin
064-4629,Mountain Oil Express (MEX) #745,0594.00,Austin
064-4637,Jiffy Stop/Goodies Retail,0430.00,Austin
064-4669,Pace Mobile Homes,0494.00,Austin
064-4670,Pace Mobile Homes,0494.00,Austin
064-4674,Formerly Achille 66 Station,0493.00,Hayley
064-4675,Al Kuykendall,0502.00,Hayley
064-4679,Jiffy Market,0478.00,Hayley
064-4695,Hitchita Country Store,0515.00,Hayley
064-4729,Hutch's - Farmer's Coop,0564.00,Hayley
064-4742,Casey's 4097,0579.00,Gage
064-4747,Cox's #2,0583.00,Hayley
064-4748,Cox's #2,0583.00,Hayley
064-4749,Garden Spot Oil,0584.00,Hayley
064-4750,Garden Spot Oil,0584.00,Hayley
064-4752,Konvenience Korner,0588.00,Hayley
064-4759,Stillwater Milling Co,0596.00,Hayley
064-4767,Doc Ingram,0606.00,Austin
064-4775,Wilson Station (West),0624.00,Erica
064-4786,Love's #172 / Casey's #4519,0618.00,Hayley
064-4788,Love's #169 / EZ GO #53,0620.00,Hayley
064-4791,Trading Post,0628.00,Erica
064-4794,Braum's Dairy Farm,0633.00,Gage
064-4797,Randy's M & M,0683.00,Erica
064-4802,DJ's County Store,0647.00,Austin
064-4805,B & B Rental,0656.00,Hayley
064-4814,Atlas Asphalt Products,0655.00,CLOSED
064-4815,Atlas Asphalt Products,0655.00,CLOSED
064-4820,Hirzel Service Center,0681.00,Justin
064-4859,Ruby M Jones Sunoco,0714.00,CLOSED
064-4861,Main St & Broadway,0765.00,Hayley
064-4863,Parkview 66,0058.00,Ben
064-4874,PDQ - Thomas LLC,0740.00,Gage
064-4875,PDQ - Thomas LLC,0740.00,Gage
064-4876,Casey's General Store #3787,0735.00,Gage
064-4877,Woodward Public Works,0730.00,Hayley
064-4913,Seven Day Station,0762.00,Hayley
064-4914,Casey's 4058,0764.00,Austin
064-4926,Downtown Conoco,0770.00,Hayley
064-4929,Ruddie's Quik Stop,0774.00,Austin
064-4933,Stillwater Milling Co,0775.00,Austin
064-4941,Meier's General Store,0478.00,Hayley
064-4969,Casey's General Store #4575,0800.00,Austin
064-5003,Hutchinson Oil Co.,0256.00,Bud
064-5004,Hutchinson Oil Co.,0256.00,Bud
SOR-5009,Mid-West Easy Stop,,Ben
SOR-5012,Casey's 4305,0819.00,Hayley
